clie_id,clie_name,clie_nascimento,clie_sexo,clie_email,clie_telefone,clie_cidade,clie_estado,clie_endereco,clie_ativo
1,Vikki Nipper,1936/09/11,F,vnipper0@soup.io,+1 (203) 549-9297,Stamford,Connecticut,5 Arizona Pass,false
2,Marti Reames,1908/10/22,F,mreames1@prweb.com,+1 (563) 607-8768,Davenport,Iowa,83798 Sachs Plaza,false
3,Carlie Litherland,1987/02/28,F,clitherland2@360.cn,+1 (512) 789-6953,Austin,Texas,47786 Sutteridge Center,true
4,Winni Rentoll,1964/12/31,F,wrentoll3@bloglines.com,+1 (718) 269-6023,Bronx,New York,083 Hoffman Center,true
5,Chrysa Hanhard,1948/02/25,F,chanhard4@discovery.com,+1 (915) 426-4242,El Paso,Texas,5224 Surrey Drive,true
6,Lotty Sonschein,1933/10/12,F,lsonschein5@nytimes.com,+1 (518) 176-8957,Albany,New York,44467 Shasta Crossing,false
7,Hugues Hathway,1969/03/09,M,hhathway6@google.com.au,+1 (360) 213-3993,Seattle,Washington,56 Valley Edge Street,false
8,Homerus Stickins,1903/08/12,M,hstickins7@zdnet.com,+1 (507) 355-1161,Rochester,Minnesota,592 Stephen Drive,false
9,Ethelyn Ganter,1987/07/15,F,eganter8@seattletimes.com,+1 (267) 538-7195,Bethlehem,Pennsylvania,2 Susan Alley,true
10,Brianne Pickerill,1955/10/12,F,bpickerill9@tuttocitta.it,+1 (206) 195-2319,Seattle,Washington,83 Comanche Plaza,false
11,Nicky Hounihan,1957/07/02,M,nhounihana@indiatimes.com,+1 (304) 442-6703,Huntington,West Virginia,170 Hanson Terrace,false
12,Kari Gores,1971/04/12,F,kgoresb@liveinternet.ru,+1 (303) 564-2876,Denver,Colorado,0919 Saint Paul Pass,false
13,Odille Duiged,1967/04/05,F,oduigedc@va.gov,+1 (971) 979-7539,Salem,Oregon,13 Fuller Junction,false
14,Pascal Standbridge,2004/05/04,M,pstandbridged@zdnet.com,+1 (202) 775-1701,Washington,District of Columbia,3544 Larry Crossing,false
15,Mignon Fesby,1903/12/11,F,mfesbye@go.com,+1 (615) 125-7242,Nashville,Tennessee,054 Starling Center,true
16,Clementius Levitt,1950/06/29,M,clevittf@posterous.com,+1 (804) 143-7287,Richmond,Virginia,349 Warner Trail,false
17,Travis Malpas,1943/06/23,M,tmalpasg@foxnews.com,+1 (850) 499-3237,Tallahassee,Florida,90105 Anderson Court,true
18,Gino Tante,1933/10/02,M,gtanteh@github.io,+1 (615) 221-0606,Nashville,Tennessee,0134 Gateway Lane,true
19,Stormi Bullick,1979/08/30,F,sbullicki@issuu.com,+1 (916) 825-8462,Sacramento,California,110 Old Gate Terrace,false
20,Annnora Dallow,1906/05/06,F,adallowj@nyu.edu,+1 (414) 365-1563,Milwaukee,Wisconsin,076 Shopko Alley,false
21,Feliks Hembry,1943/01/30,M,fhembryk@delicious.com,+1 (717) 622-1617,Lancaster,Pennsylvania,0132 Gale Alley,true
22,Marietta Krishtopaittis,1934/12/15,M,mkrishtopaittisl@jalbum.net,+1 (682) 491-1874,Fort Worth,Texas,254 Surrey Center,false
23,Quent Edsall,1952/04/07,M,qedsallm@nasa.gov,+1 (234) 165-7266,Canton,Ohio,1 1st Parkway,true
24,Murvyn Atwel,1944/04/17,M,matweln@nih.gov,+1 (805) 107-2043,Santa Barbara,California,0 Mariners Cove Park,false
25,Sarette Rodnight,1986/01/26,F,srodnighto@opensource.org,+1 (317) 454-1771,Indianapolis,Indiana,859 Larry Lane,true
26,Sheri Moulder,1914/12/02,F,smoulderp@example.com,+1 (352) 261-0433,Brooksville,Florida,40353 Raven Court,false
27,Hoebart Blackleech,1983/07/20,M,hblackleechq@mediafire.com,+1 (907) 768-6861,Anchorage,Alaska,32796 Northport Junction,false
28,Spenser Brookton,1926/03/30,M,sbrooktonr@comsenz.com,+1 (202) 719-3030,Washington,District of Columbia,5 Lawn Lane,true
29,Gert Whittingham,1995/05/05,F,gwhittinghams@nasa.gov,+1 (304) 178-7962,Charleston,West Virginia,718 Maple Place,false
30,Patience Roll,1913/07/14,F,prollt@desdev.cn,+1 (573) 738-9668,Jefferson City,Missouri,2 Ilene Terrace,true
31,Brennan Baline,1975/01/19,M,bbalineu@nytimes.com,+1 (574) 231-1124,South Bend,Indiana,349 Basil Circle,true
32,Paolo Smaridge,1982/08/11,M,psmaridgev@bloglines.com,+1 (301) 993-5046,Hyattsville,Maryland,6 Claremont Parkway,false
33,Rodolph Bielfelt,1973/05/03,M,rbielfeltw@archive.org,+1 (214) 836-9059,Dallas,Texas,8 Morningstar Parkway,false
34,Ashlin Shakspeare,1940/01/27,M,ashakspearex@cbc.ca,+1 (617) 942-1994,Boston,Massachusetts,64 Welch Court,false
35,Natalie Seiler,1975/01/23,F,nseilery@chronoengine.com,+1 (704) 466-4900,Charlotte,North Carolina,10 Memorial Circle,true
36,Will Catcheside,1921/12/20,M,wcatchesidez@csmonitor.com,+1 (203) 941-6730,Danbury,Connecticut,2 Butterfield Junction,false
37,Butch Whiff,1936/08/27,M,bwhiff10@sourceforge.net,+1 (859) 381-6915,Lexington,Kentucky,8 Moose Hill,true
38,Edgard Lambeth,1984/07/25,M,elambeth11@hud.gov,+1 (518) 473-8821,Albany,New York,482 Caliangt Park,false
39,Symon Rizziello,1923/06/08,M,srizziello12@moonfruit.com,+1 (718) 789-3828,New York City,New York,62502 Namekagon Drive,false
40,Ellswerth Depka,1943/07/16,M,edepka13@networksolutions.com,+1 (404) 874-5679,Atlanta,Georgia,79 Marcy Drive,true
41,Sonnie Lighten,1996/02/16,M,slighten14@netlog.com,+1 (313) 377-4515,Detroit,Michigan,800 Forest Run Place,false
42,Micheil Overnell,1980/05/29,M,movernell15@howstuffworks.com,+1 (951) 450-2738,Riverside,California,8 Brown Junction,true
43,Danie Heavy,1935/03/12,M,dheavy16@ucla.edu,+1 (913) 626-3532,Shawnee Mission,Kansas,15 Monterey Place,false
44,Phylis Guerri,1979/09/24,F,pguerri17@qq.com,+1 (319) 108-1647,Cedar Rapids,Iowa,7 Stoughton Hill,false
45,Arley Lifsey,1987/01/24,M,alifsey18@reverbnation.com,+1 (267) 643-8517,Philadelphia,Pennsylvania,134 Derek Place,false
46,Allina Brake,1903/10/28,F,abrake19@pcworld.com,+1 (361) 965-8483,Corpus Christi,Texas,51 Annamark Hill,false
47,L;urette Slipper,1945/10/09,F,lslipper1a@ibm.com,+1 (801) 202-2658,Salt Lake City,Utah,710 Milwaukee Junction,true
48,Dalia Benez,2010/07/17,F,dbenez1b@csmonitor.com,+1 (614) 416-1649,Columbus,Ohio,661 Lerdahl Avenue,false
49,Storm Dance,1921/12/15,F,sdance1c@phoca.cz,+1 (405) 181-7898,Oklahoma City,Oklahoma,12 Swallow Trail,false
50,Upton McGrady,2008/09/07,M,umcgrady1d@dion.ne.jp,+1 (754) 953-6476,Fort Lauderdale,Florida,0 Messerschmidt Pass,true
51,Doll Dary,1952/06/02,F,ddary1e@dedecms.com,+1 (260) 686-1028,Fort Wayne,Indiana,93 Hallows Drive,true
52,Cathrin Baldwin,1960/01/17,F,cbaldwin1f@fastcompany.com,+1 (406) 513-1150,Billings,Montana,80 Golden Leaf Court,true
53,D'arcy Yankin,2004/04/20,M,dyankin1g@trellian.com,+1 (772) 285-1018,Fort Pierce,Florida,8421 Homewood Drive,true
54,Teodoro Randales,1975/10/01,M,trandales1h@about.com,+1 (571) 827-4184,Merrifield,Virginia,036 Crownhardt Street,false
55,Peggi Jarratt,1994/06/09,F,pjarratt1i@sciencedaily.com,+1 (312) 984-2022,Chicago,Illinois,10220 Pearson Junction,false
56,Elwyn Murie,1906/12/28,M,emurie1j@slate.com,+1 (972) 716-4261,Dallas,Texas,29 Kennedy Lane,false
57,Sadie Ryal,2004/12/22,F,sryal1k@amazon.co.jp,+1 (361) 330-4269,Corpus Christi,Texas,0320 Mallard Park,true
58,Jacqui Boniface,1977/11/21,F,jboniface1l@infoseek.co.jp,+1 (303) 349-9923,Denver,Colorado,6765 Heffernan Street,false
59,Peyter Chappell,1957/12/06,M,pchappell1m@nifty.com,+1 (216) 438-1504,Cleveland,Ohio,18936 Kings Crossing,true
60,Jilli Docwra,2015/11/23,F,jdocwra1n@joomla.org,+1 (814) 917-4485,Erie,Pennsylvania,5080 Karstens Plaza,false
61,Kory Greim,1982/03/26,M,kgreim1o@rakuten.co.jp,+1 (574) 595-0046,South Bend,Indiana,3585 Gulseth Lane,false
62,Alfredo Mintrim,1974/04/18,M,amintrim1p@soundcloud.com,+1 (517) 367-9331,Lansing,Michigan,20890 Sugar Lane,false
63,Shaughn Spellworth,2001/09/21,M,sspellworth1q@mac.com,+1 (206) 270-8274,Seattle,Washington,0244 Lotheville Court,true
64,Milt Conachie,1999/03/22,M,mconachie1r@miibeian.gov.cn,+1 (630) 666-5475,Aurora,Illinois,9 Buena Vista Center,false
65,Willy Sked,2000/07/07,M,wsked1s@archive.org,+1 (225) 630-8039,Baton Rouge,Louisiana,5768 Michigan Circle,true
66,Nerty Kingdon,1929/10/14,F,nkingdon1t@nifty.com,+1 (321) 735-9522,Orlando,Florida,823 Ohio Junction,false
67,Helene Lefeaver,2015/02/15,F,hlefeaver1u@accuweather.com,+1 (415) 328-4489,San Francisco,California,465 Logan Terrace,true
68,Kerwinn Fulks,1999/04/04,M,kfulks1v@t.co,+1 (816) 694-5969,Kansas City,Missouri,71452 Dennis Alley,false
69,Yard Tinman,1994/08/04,M,ytinman1w@live.com,+1 (814) 672-9958,Johnstown,Pennsylvania,627 Mandrake Alley,true
70,Blithe Issakov,1914/11/15,F,bissakov1x@sbwire.com,+1 (209) 931-5233,Fresno,California,3203 Laurel Circle,false
71,Cal Scyner,1965/03/20,F,cscyner1y@twitter.com,+1 (704) 820-8473,Charlotte,North Carolina,817 Florence Avenue,false
72,Jeanine Dongall,2010/06/15,F,jdongall1z@facebook.com,+1 (305) 786-3252,Naples,Florida,45210 Menomonie Street,false
73,Carlynn Kinge,1986/04/25,F,ckinge20@mapy.cz,+1 (513) 923-6126,Dayton,Ohio,510 Eggendart Junction,true
74,Jerrine Moreman,2018/01/27,F,jmoreman21@huffingtonpost.com,+1 (804) 438-6868,Richmond,Virginia,3679 Wayridge Avenue,false
75,Gaultiero Fidgett,1981/06/30,M,gfidgett22@nhs.uk,+1 (818) 672-9299,Los Angeles,California,3938 Vernon Drive,true
76,Staci Trewhela,1978/04/09,F,strewhela23@rakuten.co.jp,+1 (317) 318-9648,Indianapolis,Indiana,17 Miller Crossing,false
77,Salomo Beaufoy,1966/02/10,M,sbeaufoy24@php.net,+1 (907) 800-0054,Fairbanks,Alaska,59 Southridge Crossing,true
78,Nikaniki Wagerfield,1978/06/24,F,nwagerfield25@taobao.com,+1 (913) 872-6699,Shawnee Mission,Kansas,1141 Fair Oaks Plaza,true
79,Gorden Condie,1959/04/16,M,gcondie26@ted.com,+1 (714) 723-0721,Irvine,California,522 Thompson Pass,false
